status,year,wave,wave_f,sub_reg,sub_reg_f,st,st_f,sp_code,common,mode_fx,mode_fx_f,area_x,area_x_f,estclaim,estclvar,estharv,esthvar,landing,land_var,estrel,estrlvar,tot_cat,lbs_ab1,var_lbs,wgt_ab1,var_wab1,tot_len,vartotlen,miss_fish,ALT_FLAG
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,1000000000,UNIDENTIFIED FISH,3,SHORE,5,INLAND,0,0,0,0,0,0,"4,832","25,249,003","4,832",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8707020101,NURSE SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"3,694","9,391,537","3,694",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,3,SHORE,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"19,076","322,528,622","19,076",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,5,CHARTER BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,265,"38,203",265,0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,5,CHARTER BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,780,"104,633",780,0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"29,154","437,894,662","29,154",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"6,063","25,293,167","6,063",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020000,REQUIEM SHARK FAMILY,7,PRIVATE/RENTAL BOAT,5,INLAND,0,0,0,0,0,0,"3,651","13,896,297","3,651",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020301,ATLANTIC SHARPNOSE SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0,0,0,0,0,0,"3,632","13,301,519","3,632",0,0,0,0,0,0,0,0
FINAL,2021,1,JAN/FEB,6,SOUTH ATLANTIC,12,FLORIDA,8708020500,REQUIEM SHARK GENUS,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0,0,0,0,0,0,"9,757","65,509,480","9,757",0,0,0,0,0,0,0,0
